age,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
30,cellular,may,fri,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1
25,cellular,jul,thu,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1
36,cellular,jul,thu,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1
36,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0
47,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
44,cellular,jul,wed,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1
46,telephone,jul,mon,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1
45,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
50,cellular,jul,tue,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1
29,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
40,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
44,telephone,may,fri,7,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0
38,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
36,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
28,cellular,may,mon,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1
47,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0
38,cellular,mar,tue,1,999,1,failure,-1.8,92.84299999999999,-50.0,1.6869999999999998,5099.1
33,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
51,cellular,jun,fri,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2
30,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
28,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
36,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0
46,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8
20,cellular,oct,mon,3,999,3,failure,-1.1,94.601,-49.5,0.977,4963.6
35,cellular,may,tue,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1
76,cellular,aug,thu,1,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6
45,cellular,jul,tue,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1
32,cellular,may,fri,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1
39,cellular,may,thu,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1
32,telephone,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.592,5195.8
29,cellular,may,mon,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1
44,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1
32,cellular,jul,fri,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1
56,cellular,jun,wed,1,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2
39,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
24,cellular,sep,tue,2,3,1,success,-3.4,92.37899999999999,-29.8,0.77,5017.5
33,cellular,may,thu,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1
58,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1
29,telephone,jun,fri,27,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
31,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1
27,telephone,may,wed,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
60,cellular,sep,wed,1,999,1,failure,-1.1,94.199,-37.5,0.8859999999999999,4963.6
55,cellular,oct,mon,1,999,2,failure,-3.4,92.431,-26.9,0.7390000000000001,5017.5
37,cellular,may,wed,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1
52,telephone,apr,wed,1,6,1,success,-1.8,93.749,-34.6,0.654,5008.7
46,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
42,cellular,may,wed,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1
